172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/css/bootstrap.min.css HTTP/1.1" 200 121265 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/css/jquery-ui.css HTTP/1.1" 200 7300 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/css/jquery.Thailand.min.css HTTP/1.1" 200 292 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/css/style.css HTTP/1.1" 200 130622 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/js/jquery-3.4.1.min.js HTTP/1.1" 200 88147 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/js/jquery.form-validator-2.1.67.js HTTP/1.1" 200 92337 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/js/jquery-ui.js HTTP/1.1" 200 152090 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 716 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 200 2183 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:20 +0000] "GET /assets/js/app.js HTTP/1.1" 200 2175 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:21 +0000] "GET /assets/imgs/logo-white.png HTTP/1.1" 200 75987 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:21 +0000] "GET /assets/imgs/banner-openaccount.png HTTP/1.1" 200 108925 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:21 +0000] "GET /assets/imgs/resume_btn.png HTTP/1.1" 200 19981 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:21 +0000] "GET /assets/imgs/wait.gif HTTP/1.1" 200 1211 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:21 +0000] "GET /assets/imgs/footer/tel.svg HTTP/1.1" 200 1055 "http://localhost/home.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
172.17.0.1 - - [23/Feb/2024:03:41:25 +0000] "GET /home.html HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
